2024-07-07 21:39:36,037 INFO    MainThread:69550 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-07-07 21:39:36,038 INFO    MainThread:69550 [wandb_setup.py:_flush():76] Configure stats pid to 69550
2024-07-07 21:39:36,038 INFO    MainThread:69550 [wandb_setup.py:_flush():76] Loading settings from /Users/evan/.config/wandb/settings
2024-07-07 21:39:36,038 INFO    MainThread:69550 [wandb_setup.py:_flush():76] Loading settings from /Users/evan/repos/augmentoolkit/wandb/settings
2024-07-07 21:39:36,038 INFO    MainThread:69550 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-07 21:39:36,038 INFO    MainThread:69550 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-07 21:39:36,038 INFO    MainThread:69550 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'classifier_trainer_processing.py', 'program_abspath': '/Users/evan/repos/augmentoolkit/classifier_trainer_processing.py', 'program': '/Users/evan/repos/augmentoolkit/classifier_trainer_processing.py'}
2024-07-07 21:39:36,038 INFO    MainThread:69550 [wandb_setup.py:_flush():76] Applying login settings: {'mode': 'offline'}
2024-07-07 21:39:36,038 INFO    MainThread:69550 [wandb_init.py:_log_setup():526] Logging user logs to /Users/evan/repos/augmentoolkit/wandb/offline-run-20240707_213936-53gypnpa/logs/debug.log
2024-07-07 21:39:36,038 INFO    MainThread:69550 [wandb_init.py:_log_setup():527] Logging internal logs to /Users/evan/repos/augmentoolkit/wandb/offline-run-20240707_213936-53gypnpa/logs/debug-internal.log
2024-07-07 21:39:36,038 INFO    MainThread:69550 [wandb_init.py:init():566] calling init triggers
2024-07-07 21:39:36,038 INFO    MainThread:69550 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-07-07 21:39:36,038 INFO    MainThread:69550 [wandb_init.py:init():616] starting backend
2024-07-07 21:39:36,038 INFO    MainThread:69550 [wandb_init.py:init():620] setting up manager
2024-07-07 21:39:36,040 INFO    MainThread:69550 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-07-07 21:39:36,042 INFO    MainThread:69550 [wandb_init.py:init():628] backend started and connected
2024-07-07 21:39:36,046 INFO    MainThread:69550 [wandb_init.py:init():720] updated telemetry
2024-07-07 21:39:36,074 INFO    MainThread:69550 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-07-07 21:39:36,077 INFO    MainThread:69550 [wandb_init.py:init():804] starting run threads in backend
2024-07-07 21:39:41,312 INFO    MainThread:69550 [wandb_run.py:_console_start():2241] atexit reg
2024-07-07 21:39:41,313 INFO    MainThread:69550 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-07-07 21:39:41,313 INFO    MainThread:69550 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-07-07 21:39:41,313 INFO    MainThread:69550 [wandb_run.py:_redirect():2186] Redirects installed.
2024-07-07 21:39:41,313 INFO    MainThread:69550 [wandb_init.py:init():847] run started, returning control to user process
